Unnamed: 0.1,Unnamed: 0,Event Date,# Shows,Headliner,Support,Venue,City,State,Country,Market,Company Type,Currency,Promoter,Genre,Avg. Tickets Sold,Avg. Gross USD,Avg. Event Capacity,Avg. Capacity Sold,Ticket Price Min,Ticket Price Max,Ticket Price Avg. USD,Unnamed: 21,Month,Location,yt name,yt Channel ID,yt Title,yt Description,yt Published At,yt View Count,yt Subscriber Count,yt Video Count,sp artist_name,sp artist_genre,sp followers,sp popularity,day_of_week,is_holiday,Total population,Asian alone population,Asian percentage,County,Total_Population_County,Total_Asian_Population_County,Asian_Percentage_County
0,1,11/4/23,1,xikers,,Warfield Theatre,San Francisco,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Sean Healy Presents,Asian Pop,1261,152175.02,1780,71,50.0,175.0,120.68,,11,San Francisco_California_United States,xikers,UCPtC0MXSW40Qq7RkhsCXjUQ,xikers,"xikers(싸이커스) Official YouTube Channel
",2022-11-15T14:21:56.347452Z,37578254,375000,846,xikers,['k-pop boy group'],332220,50,5,False,39538223,6085947,15.39256582,San Francisco,873965,296505,33.92641581756706
1,3,11/1/23,1,Xikers,,Orpheum Theatre,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,1812,209839.65,1924,94,50.0,175.0,115.81,,11,Los Angeles_California_United States,Xikers,UCPtC0MXSW40Qq7RkhsCXjUQ,xikers,"xikers(싸이커스) Official YouTube Channel
",2022-11-15T14:21:56.347452Z,37578254,375000,846,Xikers,['k-pop boy group'],332220,50,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
2,13,10/14/23,1,tripleS,,Pasadena Civic Auditorium,Pasadena,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,589,67526.0,1381,43,60.0,175.0,114.65,,10,Pasadena_California_United States,tripleS,UCJnL-TBcsYrF2SLs7tmiC8Q,tripleS official,"tripleS

The idol of all possibillities 

The world's first decentralized artist.
",2022-02-16T08:35:10.003571Z,299998708,2280000,1404,tripleS,['k-pop girl group'],334787,56,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
3,18,10/11/23,2,"BABYMETAL, Metalocalypse: Dethklok",Jason Richardson,YouTube Theater,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, Pop / Rock",5624,482291.0,5625,100,49.5,99.5,85.75,,10,Inglewood_California_United States,"BABYMETAL, Metalocalypse: Dethklok",UCsuErkHQ1ix25ZoBwqGyjHQ,Metalocalypse: Dethklok - Topic,,2013-09-14T06:11:31Z,91105105,64400,139,"BABYMETAL, Metalocalypse: Dethklok",['comic metal'],399605,54,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
4,24,10/6/23,1,ENHYPEN,,Dignity Health Sports Park,Carson,California,United States,Los Angeles,,US DOLLAR,"AEG Presents, HYBE",Asian Pop,22446,3627067.0,22446,100,59.9,549.5,161.59,,10,Carson_California_United States,ENHYPEN,UCArLZtok93cO5R9RI4_Y5Jw,ENHYPEN,"#ENHYPEN Official Youtube
#ENHYPEN 공식 유튜브",2020-08-10T12:46:00.218737Z,1786185504,9360000,1206,ENHYPEN,"['anime', 'k-pop boy group']",8062354,78,4,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
5,25,10/4/23,1,The Rose,,Bill Graham Civic Auditorium,San Francisco,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Another Planet Entertainment,Asian Pop,5006,415829.0,5500,91,59.5,85.0,83.07,,10,San Francisco_California_United States,The Rose,UClcbcYLmTpDeuK1EFeqh5uA,The Rose,"The Rose Official 🌹

Korean Alt Pop Band
DUAL OUT NOW
Info@transparentarts.com
Linktr.ee/theroseofficial

더로즈 공식 @official_ therose 
기타/보컬_우성 @iwoosung
건반,기타/보컬_도준 @parclassic
베이스_재형 @gud0011
드럼_하준 @I_hajoon",2016-12-16T07:48:04Z,278125618,1590000,210,The Rose,"['k-pop', 'k-pop boy group']",2605594,64,2,False,39538223,6085947,15.39256582,San Francisco,873965,296505,33.92641581756706
6,71,6/13/23,2,Twice,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Live Nation,Asian Pop,11851,1971519.0,11851,100,56.67,218.57,166.35,,6,Oakland_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,5897909757,16900000,1460,Twice,"['k-pop', 'k-pop girl group', 'pop']",19653966,81,1,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
7,73,6/10/23,1,Twice,,SoFi Stadium,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,Asian Pop,48345,7966286.0,48345,100,53.5,223.5,164.78,,6,Inglewood_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,5897909757,16900000,1460,Twice,"['k-pop', 'k-pop girl group', 'pop']",19653966,81,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
8,79,5/27/23,2,TOMORROW X TOGETHER,,BMO Stadium,Los Angeles,California,United States,Los Angeles,,US DOLLAR,"HYBE, Live Nation",Asian Pop,23378,3767914.0,23378,100,59.5,199.5,161.17,,5,Los Angeles_California_United States,TOMORROW X TOGETHER,UCtiObj3CsEAdNU6ZPWDsddQ,TOMORROW X TOGETHER OFFICIAL,"#투모로우바이투게더 공식 유튜브 입니다.
This is the official YouTube for #TOMORROW_X_TOGETHER",2018-12-21T01:41:52Z,1933565861,11600000,1942,TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",9608554,76,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
9,85,5/16/23,2,Suga,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,"HYBE, Live Nation",Asian Pop,13574,2976658.5,13574,100,59.5,279.5,219.28,,5,Oakland_California_United States,Suga,UC2QGq7pv-ZfZfTL8tcn2fNg,SUGA - Topic,,2018-05-21T11:53:24Z,231292425,2160000,59,Suga,['k-pop'],3959860,64,1,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
10,88,5/10/23,3,Suga,,Kia Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,"HYBE, Live Nation",Asian Pop,14164,3164177.0,14164,100,59.5,279.5,223.4,,5,Inglewood_California_United States,Suga,UC2QGq7pv-ZfZfTL8tcn2fNg,SUGA - Topic,,2018-05-21T11:53:24Z,231292425,2160000,59,Suga,['k-pop'],3959860,64,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
11,105,4/18/23,1,NCT Dream,,Honda Center,Anaheim,California,United States,Los Angeles,,US DOLLAR,AEG Presents,Asian Pop,10084,2057856.29,10235,99,64.5,204.5,204.07,,4,Anaheim_California_United States,NCT Dream,UCXURHJRGr4-EB3l87kcbElw,NCT DREAM,"NCT DREAM 【DREAM( )SCAPE】 ➫ 2024.03.25 6PM (KST)

Welcome to NCT DREAM Official Youtube Channel",2017-06-07T05:50:32Z,1636791943,6700000,727,NCT Dream,"['k-pop', 'k-pop boy group']",7524362,70,1,False,39538223,6085947,15.39256582,Orange,3186989,706813,22.17808094097595
12,106,4/18/23,1,Radwimps,,YouTube Theater,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,Asian Pop,5784,374072.5,5784,100,29.5,95.0,64.67,,4,Inglewood_California_United States,Radwimps,UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS,"Vocal / Guitar / Piano
野田洋次郎　Yojiro Noda
Guitar
桑原彰　Akira Kuwahara
Bass
武田祐介　Yusuke Takeda
Drum
山口智史　Satoshi Yamaguchi
",2009-03-17T09:39:28Z,2185809954,2870000,355,Radwimps,"['j-pop', 'j-rock', 'visual kei']",3784145,71,1,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
13,109,4/16/23,1,Radwimps,,San Jose Civic,San Jose,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Nederlander Concerts,Asian Pop,3326,141499.0,3326,100,40.0,90.0,42.54,,4,San Jose_California_United States,Radwimps,UCIVqvhyo8ttjYOmMJuhq_YQ,RADWIMPS,"Vocal / Guitar / Piano
野田洋次郎　Yojiro Noda
Guitar
桑原彰　Akira Kuwahara
Bass
武田祐介　Yusuke Takeda
Drum
山口智史　Satoshi Yamaguchi
",2009-03-17T09:39:28Z,2185809954,2870000,355,Radwimps,"['j-pop', 'j-rock', 'visual kei']",3784145,71,6,False,39538223,6085947,15.39256582,Santa Clara,1936259,759030,39.200850712637106
14,117,3/31/23,2,Stray Kids,,Banc Of California Stadium,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, World",23340,3397648.64,23340,100,49.5,179.5,145.57,,3,Los Angeles_California_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4625292848,15800000,1015,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",14634767,82,4,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
15,121,3/26/23,1,CIX,,Paramount Theatre,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Sean Healy Presents,Asian Pop,930,113055.0,2992,31,65.0,250.0,121.56,,3,Oakland_California_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,231851029,1040000,647,CIX,['k-pop'],610025,49,6,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
16,123,3/24/23,1,CIX,,Orpheum Theatre,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,1282,139675.0,1976,65,60.0,175.0,108.95,,3,Los Angeles_California_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,231851029,1040000,647,CIX,['k-pop'],610025,49,4,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
17,127,3/20/23,1,CIX,,Paramount Theatre,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Sean Healy Presents,Asian Pop,930,113055.0,2940,32,65.0,250.0,121.56,,3,Oakland_California_United States,CIX,UCuaslC77K-NmCy8Xwk7x0hA,CIX Official,C9Entertainment CIX Official Youtube,2019-01-08T10:04:21Z,231851029,1040000,647,CIX,['k-pop'],610025,49,0,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
18,145,2/7/23,1,JJ Lin,,SAP Center At San Jose,San Jose,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,IEM Group,Asian Pop,10767,3518496.0,11600,93,188.0,448.0,326.79,,2,San Jose_California_United States,JJ Lin,UCd91HSXKhsIv8PIjNrDByHQ,JJ Lin林俊傑,"JJ林俊傑 官方 YouTube 頻道，立即訂閱就可隨時零時差追蹤最新的 JJ 影音資訊!

The Official JJ Lin YouTube Channel",2006-02-11T12:21:49Z,1281771550,1500000,403,JJ Lin,"['mandopop', 'singaporean mandopop', 'singaporean pop']",2909075,65,1,False,39538223,6085947,15.39256582,Santa Clara,1936259,759030,39.200850712637106
19,160,1/22/23,1,P1harmony,,Paramount Theatre,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Sean Healy Presents,Asian Pop,2909,359295.95,3040,96,59.0,250.0,123.51,,1,Oakland_California_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,116554621,995000,1049,P1harmony,"['k-pop', 'k-pop boy group']",1053112,64,6,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
20,163,1/20/23,1,P1harmony,,Hollywood Palladium,Hollywood,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,3059,295435.0,3700,83,60.0,250.0,96.58,,1,Hollywood_California_United States,P1harmony,UCe-XzQhLaq4zS_mPXzuc_2Q,P1Harmony,"P1Harmony Official YouTube Channel
피원하모니 공식 유튜브 계정입니다.",2020-08-25T09:49:33.713788Z,116554621,995000,1049,P1harmony,"['k-pop', 'k-pop boy group']",1053112,64,4,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
21,173,11/19/22,2,BLACKPINK,,Banc Of California Stadium,Los Angeles,California,United States,Los Angeles,,US DOLLAR,AEG Presents,Asian Pop,23147,7673483.0,23148,100,331.5,331.5,331.5,,11,Los Angeles_California_United States,BLACKPINK,UCOmHUn--16B90oW2L6FRR3A,BLACKPINK,"BLACKPINK Official YouTube Channel
블랙핑크 공식 유튜브 채널입니다.

JISOO, JENNIE, ROSÉ, LISA
지수, 제니, 로제, 리사",2016-06-29T03:15:23Z,34947503963,93100000,592,BLACKPINK,"['k-pop', 'k-pop girl group', 'pop']",47764458,81,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
22,185,11/5/22,1,ATEEZ,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,AEG Presents,Asian Pop,7942,1142145.52,11623,68,49.5,169.5,143.81,,11,Oakland_California_United States,ATEEZ,UC2e4Ukj5Pfr7cb3KpJAFBdQ,ATEEZ,ATEEZ(에이티즈) Official YouTube Channel,2018-06-27T01:57:58Z,856070112,3760000,1328,ATEEZ,"['k-pop', 'k-pop boy group']",3714443,73,5,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
23,188,10/26/22,1,ITZY,,YouTube Theater,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,Asian Pop,5742,772637.5,5742,100,59.5,159.5,134.56,,10,Inglewood_California_United States,ITZY,UCDhM2k2Cua-JdobAh5moMFg,ITZY,"ITZY ""BORN TO BE""
https://ITZY.lnk.to/BORNTOBE

📌Release
2024.01.08 MON 6PM (KST) | 4AM (EST)

#ITZY #MIDZY 
#ITZYComeback
#ITZY_BORNTOBE
#ITZY_UNTOUCHABLE
",2019-01-14T08:52:03Z,2699478459,9020000,1479,ITZY,"['k-pop', 'k-pop girl group']",6894287,73,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
24,200,10/6/22,1,NCT 127,,Crypto.com Arena,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Live Nation,Asian Pop,11987,1451985.0,11987,100,59.5,199.5,121.13,,10,Los Angeles_California_United States,NCT 127,UCk2E0dbAyEJWnrN2bbQOcbg,NCT 127,"【Be There For Me - Winter Special Single】

Welcome to NCT 127 Official YouTube Channel!",2017-06-07T05:47:43Z,1191537788,5560000,727,NCT 127,"['k-pop', 'k-pop boy group']",7286630,69,3,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
25,203,10/2/22,2,ENHYPEN,,Honda Center,Anaheim,California,United States,Los Angeles,,US DOLLAR,"AEG Presents, HYBE",Asian Pop,9912,1200297.5,10282,96,59.0,249.0,121.09,,10,Anaheim_California_United States,ENHYPEN,UCArLZtok93cO5R9RI4_Y5Jw,ENHYPEN,"#ENHYPEN Official Youtube
#ENHYPEN 공식 유튜브",2020-08-10T12:46:00.218737Z,1786185504,9360000,1206,ENHYPEN,"['anime', 'k-pop boy group']",8062354,78,6,False,39538223,6085947,15.39256582,Orange,3186989,706813,22.17808094097595
26,224,8/17/22,1,Seventeen,,Kia Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,"HYBE, Live Nation",Asian Pop,12561,1794929.0,12561,100,59.5,179.5,142.9,,8,Inglewood_California_United States,Seventeen,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5232358835,10800000,1894,Seventeen,"['k-pop', 'k-pop boy group']",10974579,79,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
27,227,8/14/22,1,Seventeen,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,"HYBE, Live Nation",Asian Pop,12601,1360908.0,12649,100,59.5,179.5,108.0,,8,Oakland_California_United States,Seventeen,UCfkXDY7vwkcJ8ddFGz8KusA,SEVENTEEN,"#SEVENTEEN Official Youtube
#세븐틴 공식 유튜브
",2012-11-16T08:20:35Z,5232358835,10800000,1894,Seventeen,"['k-pop', 'k-pop boy group']",10974579,79,6,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
28,235,8/4/22,1,Loona,,The Midway,San Francisco,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Sean Healy Presents,Asian Pop,2075,162625.0,2075,100,55.0,270.0,78.37,,8,San Francisco_California_United States,Loona,UCOJplhB0wGQWv9OuRmMT-4g,loonatheworld,"More about LOOΠΔ/ 

iTunes: https://itun.es/us/zV5Dgb
Spotify: https://goo.gl/LJpPj1

LOOΠΔ Official : http://www.loonatheworld.com
LOOΠΔ Instagram : https://www.instagram.com/loonatheworld/
LOOΠΔ Twitter : https://twitter.com/loonatheworld
LOOΠΔ Facebook : https://www.facebook.com/loonatheworld/
LOOΠΔ Official Korean Fan Cafe : http://cafe.daum.net/loonatheworld

Copyrights 2016 ⓒ BlockBerryCreative. All Rights Reserved.",2016-08-31T11:43:03Z,870271221,1940000,1113,Loona,"['k-pop', 'k-pop girl group']",2420902,56,3,False,39538223,6085947,15.39256582,San Francisco,873965,296505,33.92641581756706
29,236,8/2/22,1,Loona,,The Wiltern,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,2300,187878.0,2300,100,55.0,85.0,81.69,,8,Los Angeles_California_United States,Loona,UCOJplhB0wGQWv9OuRmMT-4g,loonatheworld,"More about LOOΠΔ/ 

iTunes: https://itun.es/us/zV5Dgb
Spotify: https://goo.gl/LJpPj1

LOOΠΔ Official : http://www.loonatheworld.com
LOOΠΔ Instagram : https://www.instagram.com/loonatheworld/
LOOΠΔ Twitter : https://twitter.com/loonatheworld
LOOΠΔ Facebook : https://www.facebook.com/loonatheworld/
LOOΠΔ Official Korean Fan Cafe : http://cafe.daum.net/loonatheworld

Copyrights 2016 ⓒ BlockBerryCreative. All Rights Reserved.",2016-08-31T11:43:03Z,870271221,1940000,1113,Loona,"['k-pop', 'k-pop girl group']",2420902,56,1,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
30,237,8/1/22,1,Loona,,The Wiltern,Los Angeles,California,United States,Los Angeles,,US DOLLAR,Sean Healy Presents,Asian Pop,2300,189498.25,2300,100,55.0,85.0,82.39,,8,Los Angeles_California_United States,Loona,UCOJplhB0wGQWv9OuRmMT-4g,loonatheworld,"More about LOOΠΔ/ 

iTunes: https://itun.es/us/zV5Dgb
Spotify: https://goo.gl/LJpPj1

LOOΠΔ Official : http://www.loonatheworld.com
LOOΠΔ Instagram : https://www.instagram.com/loonatheworld/
LOOΠΔ Twitter : https://twitter.com/loonatheworld
LOOΠΔ Facebook : https://www.facebook.com/loonatheworld/
LOOΠΔ Official Korean Fan Cafe : http://cafe.daum.net/loonatheworld

Copyrights 2016 ⓒ BlockBerryCreative. All Rights Reserved.",2016-08-31T11:43:03Z,870271221,1940000,1113,Loona,"['k-pop', 'k-pop girl group']",2420902,56,0,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
31,238,7/23/22,2,TOMORROW X TOGETHER,,Microsoft Theater,Los Angeles,California,United States,Los Angeles,,US DOLLAR,HYBE,Asian Pop,6781,970545.0,6781,100,59.0,249.0,143.13,,7,Los Angeles_California_United States,TOMORROW X TOGETHER,UCtiObj3CsEAdNU6ZPWDsddQ,TOMORROW X TOGETHER OFFICIAL,"#투모로우바이투게더 공식 유튜브 입니다.
This is the official YouTube for #TOMORROW_X_TOGETHER",2018-12-21T01:41:52Z,1933565861,11600000,1942,TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",9608554,76,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
32,239,7/21/22,1,TOMORROW X TOGETHER,,Bill Graham Civic Auditorium,San Francisco,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,"Another Planet Entertainment, HYBE",Asian Pop,5168,726426.0,5168,100,64.0,254.0,140.56,,7,San Francisco_California_United States,TOMORROW X TOGETHER,UCtiObj3CsEAdNU6ZPWDsddQ,TOMORROW X TOGETHER OFFICIAL,"#투모로우바이투게더 공식 유튜브 입니다.
This is the official YouTube for #TOMORROW_X_TOGETHER",2018-12-21T01:41:52Z,1933565861,11600000,1942,TOMORROW X TOGETHER,"['k-pop', 'k-pop boy group']",9608554,76,3,False,39538223,6085947,15.39256582,San Francisco,873965,296505,33.92641581756706
33,240,7/19/22,2,Stray Kids,,Honda Center,Anaheim,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, World",10012,1362621.48,11844,85,49.5,179.5,136.09,,7,Anaheim_California_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4625292848,15800000,1015,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",14634767,82,1,False,39538223,6085947,15.39256582,Orange,3186989,706813,22.17808094097595
34,244,7/12/22,1,Stray Kids,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Live Nation,"Asian Pop, World",12507,1273342.27,12507,100,47.14,170.95,101.81,,7,Oakland_California_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4625292848,15800000,1015,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",14634767,82,1,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
35,246,7/9/22,2,Stray Kids,,Kia Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, World",12460,1757591.0,12460,100,49.5,179.5,141.06,,7,Inglewood_California_United States,Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,Stray Kids,Stray Kids Official YouTube,2017-05-12T03:28:10Z,4625292848,15800000,1015,Stray Kids,"['k-pop', 'k-pop boy group', 'pop']",14634767,82,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
36,252,6/11/22,1,Monsta X,,Kia Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, World",11645,1318191.0,11645,100,55.0,199.5,113.2,,6,Inglewood_California_United States,Monsta X,UCZvCP6sWj75MwpUP4LVtpNw,MONSTA X,,2017-11-14T09:07:19Z,604090413,2570000,779,Monsta X,"['k-pop', 'k-pop boy group']",5137585,60,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
37,268,2/18/22,1,Twice,,Oakland Arena,Oakland,California,United States,San Francisco-Oakland-San Jose,,US DOLLAR,Live Nation,Asian Pop,12891,1397174.59,12891,100,56.67,190.0,108.38,,2,Oakland_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,5897909757,16900000,1460,Twice,"['k-pop', 'k-pop girl group', 'pop']",19653966,81,4,False,39538223,6085947,15.39256582,Alameda,1682353,545261,32.4106177478805
38,269,2/16/22,2,Twice,,Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,Asian Pop,12753,2219313.0,12753,100,59.5,199.5,174.02,,2,Inglewood_California_United States,Twice,UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,TWICE Official YouTube Channel,2016-03-27T15:48:08Z,5897909757,16900000,1460,Twice,"['k-pop', 'k-pop girl group', 'pop']",19653966,81,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
39,271,1/30/22,2,ATEEZ,,Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,My Music Taste,Asian Pop,9934,1089360.0,9934,100,45.0,205.0,109.66,,1,Inglewood_California_United States,ATEEZ,UC2e4Ukj5Pfr7cb3KpJAFBdQ,ATEEZ,ATEEZ(에이티즈) Official YouTube Channel,2018-06-27T01:57:58Z,856070112,3760000,1328,ATEEZ,"['k-pop', 'k-pop boy group']",3714443,73,6,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
40,273,12/1/21,2,BTS,,SoFi Stadium,Inglewood,California,United States,Los Angeles,,US DOLLAR,HYBE,"Asian Pop, Rap / HipHop",53729,8408382.5,53729,100,156.0,0.0,156.5,,12,Inglewood_California_United States,BTS,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.,2012-12-17T03:20:38Z,22512616705,77500000,2451,BTS,"['k-pop', 'k-pop boy group', 'pop']",71614600,87,2,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
41,274,11/27/21,2,BTS,,SoFi Stadium,Inglewood,California,United States,Los Angeles,,US DOLLAR,HYBE,"Asian Pop, Rap / HipHop",53147,8249790.0,53147,100,156.0,0.0,155.23,,11,Inglewood_California_United States,BTS,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.,2012-12-17T03:20:38Z,22512616705,77500000,2451,BTS,"['k-pop', 'k-pop boy group', 'pop']",71614600,87,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
42,275,11/27/21,4,BTS,,YouTube Theater,Inglewood,California,United States,Los Angeles,,US DOLLAR,HYBE,"Asian Pop, Rap / HipHop",4472,268320.0,5936,75,60.0,0.0,60.0,,11,Inglewood_California_United States,BTS,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,This is the official YouTube channel of BTS. 방탄소년단 공식 유튜브 채널 입니다.,2012-12-17T03:20:38Z,22512616705,77500000,2451,BTS,"['k-pop', 'k-pop boy group', 'pop']",71614600,87,5,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
43,302,10/11/19,1,BABYMETAL,DJ Safari,Forum,Inglewood,California,United States,Los Angeles,,US DOLLAR,Live Nation,"Asian Pop, Pop / Rock",5817,419955.0,5817,100,59.5,89.5,72.19,,10,Inglewood_California_United States,BABYMETAL,UC33_tIj4m1_XaqfFcomShvw,BABYMETAL,"BABYMETAL YouTube Official Channel
",2012-07-05T10:07:13Z,789630545,2880000,198,BABYMETAL,"['idol rock', 'j-metal', 'kawaii metal']",1860900,66,4,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
44,312,8/18/19,2,"""KCon"", Mamamoo","SEVENTEEN, Stray Kids",Staples Center,Los Angeles,California,United States,Los Angeles,,US DOLLAR,AEG Presents,"Pop / Rock, World",14935,1722495.0,17108,87,72.45,207.0,115.33,,8,Los Angeles_California_United States,"""KCon"", Mamamoo",UCRNqTHqou-zen6-Elbb_Cug,MAMAMOO COMEDY,,2016-01-09T05:53:20Z,13756700,55300,45,"""KCon"", Mamamoo","['k-pop', 'k-pop girl group']",7259764,61,6,False,39538223,6085947,15.39256582,Los Angeles,10014009,1499984,14.978856120460845
